41/99	2.09G	0.01541	0.006074	0.006024	0.02751	20	416	0.947	0.986	0.9799	0.8762	0.05766	0.008858	0.03288
42/99	2.09G	0.01477	0.006037	0.005863	0.02667	12	416	0.9486	0.9857	0.9801	0.8719	0.05779	0.008964	0.03299
43/99	2.09G	0.01603	0.005996	0.006279	0.0283	10	416	0.9507	0.9861	0.9811	0.8768	0.05762	0.009106	0.03265
44/99	2.09G	0.01483	0.00593	0.005807	0.02656	23	416	0.9515	0.987	0.9816	0.8793	0.05761	0.009242	0.03264
45/99	2.09G	0.01469	0.005861	0.00581	0.02636	24	416	0.9516	0.9866	0.9818	0.8771	0.05777	0.009382	0.0327
46/99	2.09G	0.01448	0.005829	0.005574	0.02588	10	416	0.9547	0.9821	0.982	0.8795	0.05757	0.009361	0.03286
47/99	2.09G	0.01449	0.005832	0.005517	0.02584	14	416	0.9548	0.9851	0.9825	0.8804	0.05759	0.009498	0.03262
48/99	2.09G	0.01432	0.0058	0.00545	0.02557	20	416	0.95	0.9911	0.9818	0.8796	0.05753	0.009544	0.03243
49/99	2.09G	0.0149	0.005711	0.005711	0.02632	8	416	0.9527	0.9883	0.9821	0.8804	0.05745	0.009719	0.03252
50/99	2.09G	0.01601	0.005612	0.00623	0.02785	19	416	0.9524	0.9909	0.9829	0.882	0.05759	0.009789	0.0324
51/99	2.09G	0.01498	0.005534	0.00606	0.02657	17	416	0.9565	0.9859	0.9831	0.8811	0.05765	0.009968	0.03241
52/99	2.09G	0.0159	0.005472	0.006255	0.02762	19	416	0.9519	0.9927	0.9829	0.8822	0.05763	0.01015	0.03244
53/99	2.09G	0.01522	0.005399	0.006169	0.02679	19	416	0.9523	0.9908	0.982	0.8804	0.0577	0.01033	0.03229
54/99	2.09G	0.01632	0.005338	0.006454	0.02811	15	416	0.9508	0.9934	0.9819	0.8817	0.05771	0.01053	0.0322
55/99	2.09G	0.01664	0.005296	0.006693	0.02862	18	416	0.9545	0.9877	0.9822	0.8829	0.05774	0.01064	0.03215
56/99	2.09G	0.01571	0.005216	0.006419	0.02735	9	416	0.9541	0.9891	0.9822	0.8834	0.0577	0.01076	0.03207
57/99	2.09G	0.01713	0.005217	0.007554	0.0299	11	416	0.9537	0.9906	0.9825	0.8848	0.0577	0.01094	0.03191
58/99	2.09G	0.01717	0.005207	0.007918	0.03029	12	416	0.951	0.9948	0.9821	0.8858	0.05774	0.0111	0.0318
59/99	2.09G	0.01851	0.005093	0.008347	0.03195	12	416	0.9527	0.9923	0.9822	0.8843	0.05795	0.01131	0.03168
60/99	2.09G	0.0188	0.005049	0.008463	0.03232	13	416	0.9519	0.9933	0.9821	0.8839	0.05807	0.01142	0.03161
61/99	2.09G	0.01843	0.0051	0.008569	0.0321	6	416	0.9514	0.9935	0.982	0.8835	0.0581	0.01151	0.03157
62/99	2.09G	0.01912	0.005102	0.008696	0.03292	16	416	0.9512	0.9929	0.9821	0.8843	0.05812	0.01165	0.03153
63/99	2.09G	0.01774	0.004878	0.007868	0.03049	14	416	0.9511	0.994	0.9823	0.8854	0.05812	0.01178	0.03147
64/99	2.09G	0.0183	0.004952	0.008247	0.0315	14	416	0.9503	0.9949	0.9822	0.885	0.05816	0.01183	0.03142
65/99	2.09G	0.01927	0.004923	0.00856	0.03275	14	416	0.9506	0.9943	0.9821	0.8857	0.05818	0.01193	0.03138
66/99	2.09G	0.01833	0.004851	0.008116	0.0313	8	416	0.95	0.9945	0.982	0.8861	0.05817	0.01202	0.03135
67/99	2.09G	0.01695	0.004839	0.007574	0.02936	5	416	0.9494	0.9958	0.982	0.8861	0.05816	0.01209	0.03132
68/99	2.09G	0.01702	0.004777	0.007582	0.02938	11	416	0.9506	0.9937	0.982	0.8861	0.05817	0.01216	0.03129
69/99	2.09G	0.01818	0.004763	0.007672	0.03062	12	416	0.9502	0.9945	0.982	0.8861	0.05817	0.01222	0.03128
70/99	2.09G	0.01739	0.00471	0.007416	0.02952	13	416	0.9497	0.9951	0.9819	0.8861	0.05815	0.01229	0.03125
71/99	2.09G	0.01689	0.004619	0.007217	0.02872	10	416	0.9506	0.9936	0.9818	0.8861	0.05815	0.01235	0.03122
72/99	2.09G	0.01709	0.004662	0.007401	0.02916	14	416	0.9503	0.994	0.9818	0.8861	0.05817	0.01241	0.0312
73/99	2.09G	0.0172	0.004586	0.007404	0.02919	7	416	0.9501	0.9938	0.9818	0.8872	0.05815	0.01245	0.03118
74/99	2.09G	0.01707	0.004572	0.007675	0.02932	14	416	0.9497	0.9945	0.9819	0.8876	0.05814	0.01251	0.03116
